,date,TO,R,hosp,rad,conf,conf_j1,dc_tot
55,2021-01-06,0.515421115065243,1.16545086288807,24708.0,198725.0,840080.0,25379.0,61142.0
56,2021-01-07,0.508699090549624,1.17330895975445,24488.0,200048.0,861783.0,21703.0,61689.0
57,2021-01-08,0.515223408461843,1.17296704051553,24377.0,201255.0,881597.0,19814.0,62236.0
58,2021-01-09,0.514037168841439,1.16597090016823,24240.0,202134.0,901774.0,20177.0,62675.0
59,2021-01-10,0.51799130090945,1.15425878926505,24526.0,202398.0,917718.0,15944.0,63097.0
60,2021-01-11,0.527085804665876,1.13992307559118,24812.0,203041.0,921299.0,3581.0,63678.0
61,2021-01-12,0.529458283906683,1.12500358356429,24703.0,204359.0,941052.0,19753.0,64304.0
62,2021-01-13,0.534005535784895,1.11112754973707,24735.0,205641.0,964904.0,23852.0,64804.0
63,2021-01-14,0.536971134835904,1.09948496161627,24983.0,206771.0,986132.0,21228.0,65357.0
64,2021-01-15,0.539739027283511,1.09085910088906,25009.0,208040.0,1007403.0,21271.0,65908.0
65,2021-01-16,0.539936733886912,1.08547161847517,24985.0,209025.0,1028809.0,21406.0,66372.0
66,2021-01-17,0.546856465005931,1.08302877676161,25235.0,209312.0,1045451.0,16642.0,66784.0
67,2021-01-18,0.554171609331752,1.08285163759276,25584.0,210169.0,1049187.0,3736.0,67458.0
68,2021-01-19,0.559311981020166,1.08396545556701,25532.0,211785.0,1072795.0,23608.0,68098.0
69,2021-01-20,0.561882166864373,1.08522060786313,25650.0,213211.0,1099579.0,26784.0,68679.0
70,2021-01-21,0.566627125345987,1.0855569312784,25699.0,214507.0,1122427.0,22848.0,69296.0
71,2021-01-22,0.573744563068407,1.08413499095575,25872.0,215791.0,1145719.0,23292.0,69886.0
72,2021-01-23,0.570581257413998,1.08054778834912,25864.0,216694.0,1169643.0,23924.0,70387.0
73,2021-01-24,0.584223013048636,1.07482138621878,26357.0,216934.0,1188079.0,18436.0,70830.0
74,2021-01-25,0.599248714907078,1.06733481680682,26888.0,217677.0,1192319.0,4240.0,71546.0
75,2021-01-26,0.6071569790431,1.0587284974728,27005.0,219121.0,1214405.0,22086.0,72167.0
76,2021-01-27,0.612297350731515,1.04973939935981,27131.0,220539.0,1241321.0,26916.0,72788.0
77,2021-01-28,0.613088177145117,1.04095882611726,27128.0,221872.0,1265091.0,23770.0,73403.0
78,2021-01-29,0.616844602609727,1.03278686333285,27270.0,223143.0,1287949.0,22858.0,74029.0
79,2021-01-30,0.613483590351918,1.02545856227319,27242.0,224089.0,1312341.0,24392.0,74542.0
